"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"rm_na_ndhJ",0.00425953999999999,0.01017391,0.00025967,0.01085899,0.0253390399999998,0.0722399800000008,0.0147931899999999,0.00991708999999997,0.00386400000000004,0.0268807399999999,0.0244379499999999,0.0258463100000003,0.0173354500000001,0.0461544399999998,0.00613457000000006,1.80000000000002e-07,0.00395905999999996,0.0122145700000001,0.0259200700000002,0.02695045,0.0361659399999997,0.05370244,0.0500913500000002,0.00661897999999996
"rm_na_ndhK",0.0130191200000001,0.00305555999999998,0.00423277999999996,0.00230374000000002,0.0217572600000001,0.0616900299999998,0.0187621200000002,0.0108572500000001,0.0310543000000001,0.0289710000000001,0.0466676699999998,0.0350614199999996,0.0278517499999999,0.0718028199999993,0.00231536999999997,0.00184821999999998,0.00707299000000002,0.00734958000000003,0.0281941799999997,0.0399204200000002,0.0335500199999998,0.07007699,0.0706683299999998,0.0202306400000001
"rm_na_petA",0.00922392999999993,0.00165920000000002,0.00802532000000003,0.00235392000000002,0.00820194999999998,0.0601865399999997,0.0151334399999999,0.0105068400000001,0.0250320600000001,0.0463248599999996,0.0390078999999995,0.0216456899999999,0.0158158700000001,0.0799382000000008,5.69999999999998e-07,0.0110926799999999,0.00165933,0.00533095999999997,0.0183434700000001,0.0456131700000005,0.0282756399999999,0.10238369,0.0458781299999996,0.01433322
"rm_na_petB",0.00830097000000001,0.00758787000000005,0.00464373999999995,0.00399931999999998,0.00814861000000002,0.0502562400000003,0.00975704999999989,0.0107448199999999,0.0147286500000002,0.0386719899999998,0.0225779700000002,0.0377947199999998,0.0104407299999999,0.0634416000000006,1.40000000000001e-07,0.00128474,0.0164171799999999,0.01228171,0.0220211499999999,0.0357255200000001,0.0289007500000001,0.0485890299999999,0.0419480299999997,0.0128990299999999
"rm_na_petD",0.0108765700000001,0.000832210000000009,0.0119763099999999,0.01390394,0.00642912000000003,0.0608095100000005,0.01129291,0.0163491699999999,0.00733328000000008,0.0249961299999998,0.0247732600000002,0.0223652400000002,0.0222858900000001,0.0671884599999995,0.00377433000000003,0.00742931999999998,0.00870368000000003,0.0175706199999999,0.00804433000000004,0.0277502800000003,0.0322839399999999,0.0329656400000003,0.0334472499999999,0.0169012999999999
"rm_na_petG",0.0155899,5.89999999999995e-07,0.00888794999999993,5.89999999999995e-07,0.0180568199999999,0.0287275299999997,5.99999999999995e-07,0.00932650999999997,6.10000000000004e-07,4.10000000000004e-07,0.00865378999999994,0.00841833000000001,5.00000000000001e-07,0.0596013299999994,5.69999999999998e-07,4.49999999999997e-07,4.19999999999999e-07,6.10000000000004e-07,0.0184269299999998,0.0398866400000001,0.01858754,0.0834033599999998,0.00893669000000005,0.0242254199999997
"rm_na_petL",0.0040529,5.89999999999995e-07,7.40000000000006e-07,5.89999999999995e-07,0.0222963199999999,0.0237790600000002,0.0109049400000001,7.00000000000004e-07,0.0102226999999999,0.0213597299999999,0.0449610799999995,5.69999999999998e-07,5.00000000000001e-07,0.0609427700000006,5.69999999999998e-07,0.0209427300000002,6.70000000000005e-07,6.10000000000004e-07,5.69999999999998e-07,0.0209191800000001,0.0450778299999996,0.0598947699999995,0.0103926999999999,0.00629786999999998
"rm_na_petN",0.00455564000000004,5.89999999999995e-07,7.40000000000006e-07,5.89999999999995e-07,5.80000000000004e-07,0.0640302399999995,5.99999999999995e-07,0.0116602000000001,5.40000000000002e-07,0.0115971199999999,7.00000000000004e-07,0.0114636499999999,0.0112062300000001,0.0645850699999993,5.69999999999998e-07,7.10000000000008e-07,6.70000000000005e-07,0.01133903,0.04884423,5.69999999999998e-07,6.50000000000007e-07,0.0362844399999999,5.30000000000001e-07,0.00707909000000005
"rm_na_psaA",0.01010482,7.59499999999992e-05,0.00254952999999999,0.00563617999999998,0.00665761999999996,0.0353394799999999,0.00818994000000004,0.01111574,0.0186771000000001,0.0210992300000002,0.01920027,0.0188492899999999,0.0121343999999999,0.04854228,0.00387635999999996,0.00248084000000002,0.00582777999999994,0.00900077999999999,0.0126441699999999,0.0226661699999998,0.0183913600000001,0.0484698600000002,0.0306831199999998,0.0157020700000001
"rm_na_psaB",0.00736765000000008,0.00126834999999999,0.00297427000000002,0.00285140000000001,0.00898363000000003,0.03007897,0.00933832999999995,0.00567997000000003,0.0121881900000001,0.0213840700000001,0.01584568,0.0189232600000001,0.00797491999999997,0.04645748,0.00189700999999999,0.00416937000000002,0.00725388000000007,0.00984628999999995,0.01344616,0.0331007999999997,0.0326800400000003,0.0390111299999997,0.04110045,0.01144872
"rm_na_psaC",0.0141725499999999,0.00459654,7.40000000000006e-07,0.00722462999999999,0.00939231999999997,0.0540762400000006,0.00572888999999993,0.0314773600000001,0.0292623900000002,0.0521153299999998,0.0237134999999998,0.00997222999999997,0.01663602,0.11067512,5.69999999999998e-07,4.49999999999997e-07,0.0101690699999999,0.00570425999999994,0.0161412599999998,0.0328520900000003,0.0474393800000004,0.0652127400000003,0.01484776,0.0220229700000002
"rm_na_psaI",0.0457667799999999,5.89999999999995e-07,0.00995137000000007,1.77000000000001e-06,1.48999999999998e-06,0.0515645900000003,0.00977259999999993,0.01029919,0.0112142099999999,0.10713911,0.0562443599999996,0.0777467499999996,0.00370946999999997,0.0610896200000005,9.2000000000001e-07,4.49999999999997e-07,0.01042769,0.03348562,0.0561120300000004,0.0154780899999999,0.0508602699999999,0.0277250499999998,0.0497405900000004,0.0711178200000002
"rm_na_psaJ",1.69999999999998e-07,0.00635364999999994,0.01101332,0.0103960000000001,0.0372999799999999,0.0361564200000001,3.69999999999995e-07,0.00850547999999997,0.01895365,0.0437960099999997,0.0388329199999997,0.0522187700000001,0.00475805999999998,0.0661307500000001,0.00442878999999999,0.0199596200000001,0.02273615,0.0160931599999999,0.00816380000000003,0.0150128499999999,0.0575979300000006,0.21859603,0.0751543100000003,2.60000000000001e-07
"rm_na_psbA",0.00704672999999998,0.00131507,0.00242859000000001,0.00246725999999998,0.0101877300000001,0.0347417799999997,0.00929076000000002,0.00529644000000001,0.00549393999999998,0.01052725,0.00593287000000003,0.01666205,0.0109725499999999,0.0304072899999998,0.000826049999999993,0.00713210000000001,0.01217366,0.00751165000000001,0.01694157,0.0225862699999999,0.01758219,0.0302775400000002,0.0125139300000001,0.0109500500000001
"rm_na_psbB",0.00746919000000004,0.000530509999999994,0.00628353000000005,0.00385786,0.00746623999999994,0.0428469299999998,0.0221095299999999,0.01196972,0.0152486399999999,0.0279125199999998,0.0234925900000001,0.0357310499999999,0.0126493700000001,0.0627434100000005,0.00124797000000001,0.00191334000000002,0.0123446399999999,0.0185106200000001,0.0161874599999999,0.0331038000000001,0.0276522199999997,0.0866585400000006,0.03709322,0.01160651
"rm_na_psbC",0.00566747000000001,7.20000000000002e-07,0.00739155999999998,0.00736125000000008,0.0113463600000001,0.0350537399999996,0.0126204900000001,0.00551543999999996,0.0156347599999999,0.0178108300000001,0.0120685,0.0232180200000002,0.0104196900000001,0.0443191699999997,1.40000000000001e-07,0.000534290000000002,0.00856962999999992,0.0140934099999999,0.00819219,0.0231454499999997,0.0227469799999998,0.0746329700000002,0.0419614200000002,0.00880678000000003
"rm_na_psbD",0.00806716999999998,2.70000000000001e-07,0.00289228999999998,0.00530739999999997,0.00251916999999998,0.03159729,0.00632326999999997,0.00748476000000006,0.01347785,0.01014229,0.01345177,0.0239036600000002,0.00899838000000005,0.0366400500000004,0.000675549999999999,0.00468687999999999,0.00311079000000003,0.0113281899999999,0.0124545400000001,0.0110470299999999,0.0174176699999999,0.0277065300000001,0.0291241100000001,0.0125357199999999
"rm_na_psbE",0.00526599000000004,0.00423804,7.40000000000006e-07,2.29999999999999e-07,9.2999999999999e-07,0.0258246699999998,0.00810782999999998,0.00871926999999992,0.00850082999999999,0.00890745999999991,0.0093954,0.0235649999999997,0.00384405000000001,0.0221430200000002,0.00877722000000001,7.10000000000008e-07,6.70000000000005e-07,0.00878691999999996,0.0141289100000001,0.0237617000000002,0.0135263799999998,0.0237504700000001,0.0386018000000003,0.00818291999999993
