"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
"gene108.fasta",0.004839720195,0.02338324378,0.05731382335,0.03021505501,0.008323769944,0.002279094376,0.005726379785,0.05355725791,0.01947058902,0.02419391431,0.06069671742,0.06079475978,0.04852300097,0.009823321066,0.007244202651,0.01815571499,0.02543856921,0.02965235004,0.02140339431,0.0557033491,0.01087668826,0.02023025389,0.03879448991,0.009355356194,0.003136357982,0.007197041088,0.001551239879,0.003666307053,0.04116265084,0.02304588815,0.02255333319,0.02700815841,0.01601173683,0.02738052754,0.02221584686,0.01519805875,0.07090888035,0.05958402095,0.005148800426,0.003419654971,0.01434932632,0.006861468058,0.002912642747,0.003846176533,0.0003682841021,0.001193858087,0.003527479783,0.002187029669,0.005372215458,0.009872991712,0.03029569596,0.04043737812,0.009467904127,0.01864962467,0.03222905765
"gene109.fasta",0.01893637783,0.1519343972,0.06279347143,0.05211944468,0.001484450456,0.01128280109,0.0557315533,0.02284522313,0.02699146935,0.0199638634,0.3161565083,0.07456374792,0.04052629835,0.002174300343,0.01021406001,0.02386553785,0.02156841414,0.02836355838,0.01157827837,0.05695824383,0.008066669399,0.0222636799,0.03753009735,0.007013853099,0.003239454525,0.008821941411,0.003677655202,0.004772067863,0.05805327415,0.01884369634,0.03514597492,0.03118356448,0.02637134117,0.04944193866,0.03923645781,0.08291745016,0.1986741501,0.05652374231,0.005047030363,0.002660711177,0.02782715729,0.006589342715,0.002480196581,0.002396514803,1e-08,0.004915366638,0.001962065043,0.003586098865,0.0041718704,0.009863112934,0.01762385973,0.03295745081,0.01102554706,0.03296595376,0.05150893387
"gene11.fasta",0.003101002246,0.02614055427,0.04309962424,0.04132000021,0.003532405671,0.004307444016,0.01526067767,0.05430906441,0.03307732373,0.03740195009,0.05019698726,0.06641978083,0.05063966495,0.008696124484,0.009215846767,0.01570349027,0.0336880615,0.03793807759,0.005388569077,0.1047488488,0.005934950317,0.03262364408,0.0625066948,0.008076588317,0.004274832889,0.007710991545,0.002971346403,0.008822310026,0.03923988609,0.01262619693,0.02628661367,0.03369248044,0.02499301917,0.03453566359,0.03997551576,0.01744391506,0.06920267524,0.0524281402,0.00467313995,0.002567175328,0.01531393407,0.006570254909,0.005662454185,0.001425723503,0.001226063321,0.0007171900096,0.0007167621791,0.002609482494,0.003814759929,0.01014568523,0.01854373779,0.04734027231,0.009263575518,0.03837072739,0.03254089298
"gene110.fasta",0.007819580002,0.03982368843,0.06470188654,0.03552393183,0.007601451799,0.004116751104,0.00699047015,0.03792296368,0.02590741665,0.02680334278,0.05375175752,0.07258314588,0.04402612391,0.005705740337,0.006423766778,0.01346269936,0.02813018106,0.02700505742,0.01317931098,0.05907291131,0.009464983359,0.02644782236,0.04674661981,0.005172957131,0.003444095965,0.009558644237,0.002595282781,0.005669187276,0.04888160987,0.01541057201,0.04208538386,0.02872235202,0.01630634986,0.02347373592,0.02745644634,0.009806555844,0.1080331989,0.06396408633,0.004050491927,0.0009780106515,0.02302812551,0.006981894598,0.00569377104,0.004533904584,0.001243148272,0.002993040704,0.001829748995,0.003510188098,0.005403031343,0.04008424602,0.01820483819,0.03853200429,0.008496763099,0.02657082343,0.03263617312
"gene111.fasta",0.004104486562,0.0288047073,0.06965936112,0.02923795197,0.005872172186,0.005478300507,0.005546915143,0.07007743558,0.03579837567,0.08729505694,0.06750083389,0.08091762391,0.0593909487,0.005123777777,0.006325457432,0.01264063977,0.03000200073,0.03265343731,0.01159502375,0.05717181597,0.005500438246,0.03157051122,0.05356027822,0.004267308307,0.003156616527,0.01067250132,0.002555214739,0.004844758833,0.04155001144,0.02416394181,0.04274812908,0.02548927132,0.01708306055,0.02855192497,0.02166873809,0.01619855366,0.06620608664,0.1509864034,0.003064226181,0.003202938178,0.01922897745,0.006395789615,0.004908131766,0.001813502236,0.001404716226,0.002140015196,0.001603360497,0.001114445757,0.003526225235,0.01063139836,0.06848955905,0.05833951502,0.01655404362,0.02864446533,0.04672160856
"gene112.fasta",0.001540147926,0.02782255025,0.04748002714,0.02558164022,0.008269421632,0.01825202828,0.01117699546,0.0844337946,0.02870085608,0.03143107805,0.04723901858,0.07579304621,0.03086949927,0.008423317723,0.007448126476,0.0123225396,0.02919901562,0.02832095655,0.008298317905,0.07188007234,0.004713380257,0.02900673359,0.04383455069,0.004812719581,0.0009786626157,0.01223651786,0.002672919173,0.007111706925,0.0304269519,0.02233901724,0.03477577582,0.03085218165,0.0102503765,0.02590961871,0.03867913324,0.02573873764,0.0886494492,0.05737480379,0.005125106041,0.004899525973,0.01511077783,0.003508151806,0.002782773746,0.002136140418,1e-08,0.0005356888794,0.001610138944,1e-08,0.003783310585,0.02791990725,0.02380990747,0.05312354889,0.01394330424,0.02047447217,0.03551744447
"gene113.fasta",0.008392754047,0.03604746883,0.08913472286,0.1033505661,0.01885364473,0.01132954981,0.019477388,0.07910700282,0.02603247533,0.03791231572,0.08425818444,0.1559921605,0.08563230014,0.02853545969,0.01310948809,0.03636841482,0.04231873625,0.09069446914,0.07339059242,0.1468654538,0.02904214102,0.04475566187,0.09739173597,0.03337803107,0.005624720757,0.0210761937,0.01147247381,0.009273555564,0.1042072912,0.05412482827,0.0844117799,0.0608463241,0.03620699551,0.07835570941,0.05435580817,0.1447830863,0.08353195242,0.09182288805,0.01498831108,0.00852778829,0.03299680009,0.01149281443,0.007107767532,0.003644662485,1e-08,0.004075031139,0.004266948137,0.004263095376,0.005049818768,0.0473129985,0.04029715781,0.07424613376,0.01989124775,0.03560196616,0.06827830535
"gene114.fasta",0.004809950809,0.02398233891,0.06301243497,0.03629241858,0.007140721394,0.007346610808,1.731251316e-08,0.06021939481,0.03436559411,0.02573397786,0.05389504297,0.1418865306,0.05448944543,0.005410730188,0.004053890501,0.01824331716,0.04229587745,0.03731306501,0.01753003954,0.09375445704,0.007686287202,0.02336802239,0.0548693351,0.003587586876,0.002808627773,0.007580187397,0.001489713647,0.00270981714,0.04458848899,0.03622651346,0.04419989276,0.04375170823,0.009856740887,0.06315785813,0.008591285899,0.02571444172,0.06685799617,0.1276444877,0.005149349615,0.002069578593,0.01716545145,0.004713351346,0.004413097671,0.002529768197,1e-08,0.00453696208,0.005105523653,0.003344573915,0.005411501759,0.0135530646,0.02423736052,0.08405076399,0.00359718512,0.04685098602,0.04466030792
"gene115.fasta",0.01018676072,0.04169862346,0.1118397163,0.04810288549,0.01219621615,0.006868364955,0.008201599522,0.1172732159,0.05482156722,0.07420329978,0.09777284178,0.1551148553,0.06426331528,0.007881332466,0.005501301573,0.01801188242,0.04354357792,0.05326421341,0.02361778241,0.1186419906,0.01213184538,0.03402240251,0.05405436071,0.006137951319,0.00513453921,0.01165789189,0.002980403318,0.006779931617,0.055983349,0.02700008073,0.07607223645,0.04921730054,0.01843333783,0.06837512536,0.04846812544,0.02962978803,0.1062539887,0.09896210659,0.009661523424,0.009072950271,0.02167393692,0.005931246977,0.005520152379,0.002853952216,0.001657972247,0.003034700942,0.003648859764,0.00302898891,0.007361214845,0.01143965083,0.0261743452,0.1137757671,0.01861535105,0.07609033751,0.0474401719
"gene116.fasta",0.009860587972,0.02806476682,0.07081213699,0.02993815361,0.01348545995,0.004017526431,0.005693250701,0.09809075906,0.06040479551,0.121788231,0.06839319037,0.1818770851,0.07303413163,0.01532984123,0.006904265302,0.02577529999,0.03223977837,0.04366989611,0.02879811716,0.08316076845,0.0164030256,0.0326372426,0.1336935327,0.01655715527,0.00435309075,0.0152482014,0.005489579453,0.003945664086,0.05193126625,0.02161273149,0.07140756785,0.038624633,0.01800117935,0.04578989628,0.04942681273,0.02786462637,0.07906946082,0.118899521,0.006635277546,0.01695339,0.02883688193,0.008160519026,0.008643623526,0.002223595843,1e-08,0.0007394624914,0.004447756592,0.00251889799,0.006705944809,0.04534198214,0.02741311449,0.05557314907,0.02282906706,0.02252997553,0.06814528077
