"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"rm_na_ndhJ",0.00453621999999998,1.69999999999998e-07,0.0137189099999999,0.00214220999999998,0.00852198,0.00373776000000004,0.0411078800000002,0.0835914900000004,5.69999999999998e-07,0.0482321600000001,0.0397859900000004,0.0104842400000001,0.0150794299999999,0.00821326999999994,1.91000000000001e-06,0.0327031800000001,0.0401323499999996,0.0406521100000005,0.00997782999999997,0.0332020700000003,0.04438847,0.00604675999999997,0.00203156,0.00427089999999996,0.00200324999999999,0.0147116599999999,0.00695665999999993,0.0427870999999999
"rm_na_ndhK",0.00641844999999994,0.00145951999999999,0.0235293900000002,1.30000000000001e-07,0.00900072000000002,0.0111589899999999,0.0188957200000002,0.0782084799999998,0.0327848499999999,0.0791111800000007,0.0666080500000003,0.0266459400000002,0.0210997499999999,0.01386854,2.60000000000001e-07,0.0489859699999999,0.0514621700000001,0.0736054800000006,0.00683372999999993,0.0320629500000002,0.0546330300000005,0.0137424199999999,0.00665664999999995,0.00489612000000005,1.40000000000001e-07,0.0253379999999999,0.0277123100000001,0.0605409599999996
"rm_na_petA",0.01073721,0.00313629000000001,0.0225106900000001,0.000462180000000004,0.00776470999999991,0.00530890999999999,0.0137071799999999,0.0724626100000003,0.0218884900000001,0.0639952799999998,0.0780327799999994,0.0172803599999998,0.0138157399999999,0.00876308999999998,0.00055503,0.0401794399999996,0.03876788,0.0503459599999998,0.0118408999999999,0.0396125499999997,0.0516818700000003,0.0152619500000002,0.00323612999999999,0.00427676000000004,0.000764070000000001,0.02527809,0.0145128299999999,0.10127692
"rm_na_petB",0.00663374999999997,0.00725166000000007,0.01030244,0.000998810000000006,0.0115113899999999,0.00211031999999998,0.00872992000000004,0.0548539299999994,0.0149890999999999,0.05602039,0.0626417599999999,0.0134936,0.0242592100000002,0.00813885999999999,0.00171831999999999,0.0400813300000002,0.0345411700000002,0.0511689599999997,0.01455192,0.04121327,0.04997794,0.0149856899999998,0.00549398999999998,0.00523969000000005,0.00343696999999999,0.01517627,0.01985452,0.0625717500000005
"rm_na_petD",0.00702969999999995,0.00712288999999995,0.0139459800000001,1.30000000000001e-07,0.00271852999999999,0.00787802999999992,0.0220569799999998,0.0748175999999995,0.00365679000000004,0.0486057799999995,0.0781607600000008,0.0272188099999998,0.01130785,0.00557629000000003,0.000727279999999995,0.0438114600000002,0.0343152100000001,0.0387453699999996,1.80000000000002e-07,0.0311582200000002,0.0188034100000001,0.0159086600000001,1.40000000000001e-07,0.0021348,0.00133749,0.0313352599999999,0.00894683999999998,0.0663064899999999
"rm_na_petG",0.00381720000000002,6.90000000000008e-07,0.0091925,3.50000000000004e-07,0.0106078600000001,0.00824975999999996,5.20000000000001e-07,0.0305822200000002,4.30000000000003e-07,0.0269980699999998,0.0619938000000005,0.0413994100000001,0.0092123800000001,4.89999999999996e-07,6.60000000000002e-07,0.00937870999999997,5.20000000000001e-07,4.10000000000004e-07,4.59999999999996e-07,0.0188003700000001,0.0396750299999997,6.40000000000004e-07,0.00892225999999996,7.10000000000008e-07,5.59999999999999e-07,0.0183991499999998,6.10000000000004e-07,0.0360051299999999
"rm_na_petL",0.00435579,6.90000000000008e-07,0.01077846,5.10000000000005e-07,6.70000000000005e-07,4.89999999999996e-07,0.0233868099999999,0.0363393099999999,0.0102136499999999,0.0463268899999999,0.06131738,0.0108002799999999,5.10000000000005e-07,0.01116962,1.70999999999998e-06,0.0231188299999998,0.0766353500000008,0.0337662800000003,7.30000000000007e-07,0.0450652499999996,0.0594515199999995,0.0577122600000001,5.69999999999998e-07,7.10000000000008e-07,0.01073296,6.40000000000004e-07,0.02177589,0.0410852899999999
"rm_na_petN",0.00370614999999997,6.90000000000008e-07,7.89999999999998e-07,5.10000000000005e-07,6.70000000000005e-07,7.89999999999998e-07,5.20000000000001e-07,0.0640805600000002,5.59999999999999e-07,0.0111732000000001,0.0715082299999997,0.01145203,5.10000000000005e-07,0.0112106199999999,0.01136461,0.0258729800000002,0.0138182999999999,0.02518743,7.30000000000007e-07,0.01124099,0.0113175600000001,6.40000000000004e-07,5.69999999999998e-07,0.01124058,0.0112404599999999,6.40000000000004e-07,0.0115472699999999,0.03495762
"rm_na_psaA",0.00518510000000006,0.000804919999999999,0.0192927299999999,4.70000000000002e-07,0.00442765,0.00669005999999997,0.00973127000000004,0.0437681099999998,0.01852834,0.0346952699999996,0.0473886099999998,0.0232873099999999,0.0101237200000001,0.00711329000000003,0.00022493,0.0287609499999999,0.0276950999999998,0.03254539,0.00360431999999998,0.02536399,0.0364789900000003,0.0103313199999999,0.00258766999999998,0.00313486999999997,0.00353939999999999,0.0151402000000001,0.0178405899999999,0.0489076100000001
"rm_na_psaB",0.00422087999999996,0.0057483,0.00904915000000008,5.00000000000001e-08,0.00473411999999997,0.00451226999999997,0.0122984099999999,0.0403267199999998,0.01340876,0.0340367299999998,0.0486558299999999,0.0130656100000001,0.01039632,0.0110603800000001,0.000689010000000005,0.02317149,0.0389688700000004,0.0489383799999995,0.00357949000000002,0.0332732100000002,0.0290388000000001,0.00787890999999998,0.00437708000000002,0.00404463000000004,0.00192646,0.0167353800000001,0.01394781,0.0398126900000002
"rm_na_psaC",0.00788118000000004,6.90000000000008e-07,0.01871514,3.20000000000003e-07,0.01085614,7.89999999999998e-07,0.01301845,0.0514627999999997,0.02807309,0.0296150799999997,0.0923738200000001,0.02773588,0.0123237799999999,0.0107460899999999,0.00607271000000003,0.03454483,0.03376099,0.0702416700000002,2.04000000000001e-06,0.0790845600000002,0.0529983999999995,0.00921278000000007,0.00880812999999999,2.80000000000001e-07,3.50000000000004e-07,0.0283829700000001,0.0350784599999996,0.0743378699999995
"rm_na_psaI",0.00645137000000006,6.90000000000008e-07,0.00969067999999997,5.10000000000005e-07,6.70000000000005e-07,0.0100069400000001,1.34000000000001e-06,0.0565633499999994,5.59999999999999e-07,0.16900137,0.0461573499999995,0.11312426,0.0338013000000001,1.28e-06,6.60000000000002e-07,0.0681695900000003,0.0540810699999998,0.0106579099999999,0.0230136600000002,0.0412741200000004,0.0968325099999999,3.99999999999998e-07,5.69999999999998e-07,4.40000000000002e-07,0.00969395000000009,0.29317823,1.58999999999999e-06,0.0608514399999997
"rm_na_psaJ",0.00557685999999998,1.74e-06,0.0429906599999996,0.00586084000000003,0.0135048500000001,0.0155456699999999,0.0306266700000001,0.0344301000000003,0.0184040900000001,0.0747737599999996,0.0633962400000002,5.40000000000002e-07,0.0230822800000001,0.0216466699999999,4.10000000000004e-07,0.00772464999999993,0.0510599000000004,0.01764507,0.00592731999999993,0.0598468299999997,0.0211997000000002,0.0415952900000004,3.60000000000003e-07,4.40000000000002e-07,5.59999999999999e-07,0.0331540499999999,0.0338979300000001,0.0526027500000003
"rm_na_psbA",0.00400573000000004,0.00476298000000001,0.00496152999999996,0.000900740000000009,0.00290679999999998,0.00223627999999999,0.00938197000000006,0.0469887500000001,0.00552685000000004,0.0266322799999997,0.0330194699999997,0.01781906,0.0124950100000001,0.00752906999999995,2.60000000000001e-07,0.0268488399999998,0.0353290099999997,0.0280513599999997,0.000551490000000003,0.0197233199999998,0.0300482899999997,0.00835537000000002,0.00406568000000003,0.00194539999999998,0.00287947000000003,0.01200734,0.01502509,0.0377833800000001
"rm_na_psbB",0.00663343999999993,0.00405857000000004,0.01377926,0.00264728999999998,0.00746248000000007,0.00313512999999999,0.0140658400000001,0.0729475400000005,0.0167041600000002,0.0636873499999997,0.0656248299999998,0.0150256299999999,0.0149033300000001,0.00980358000000005,0.00557409000000001,0.0208412099999999,0.0418652900000003,0.06371455,0.00289458999999998,0.0484958700000001,0.0431766699999995,0.00528893,0.00604483999999996,0.00573961999999997,0.000238170000000001,0.01386629,0.0233887100000001,0.0625688500000002
