,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
10,-2.12267540077,-2.4302857128,-5.02412861448,-4.42244748279,-2.58903708659,-4.20288497888,-2.15003195128,-4.37626476783,-0.990415560315,-2.2434178814,-2.60477682243,-1.32340928849,-1.84771814537,-1.77655902,-1.13308816216,-1.27511130543,-2.04702283734,-2.96934744106,-3.85707311042,-4.14210819022,-1.73214799122,-1.27609661921,-2.16936287846,-1.33469755985,-1.28555857552,-5.78049898955,-3.7854468615,-4.40130308468,-1.0844378741,-1.96990602546,-1.48389878641,-1.64397757574,-1.59289341096,-1.30748054632
11,-2.12166138804,-2.59260053195,-5.06299776981,-4.47527228333,-2.79005451196,-4.01314918334,-2.13048201068,-4.3298639053,-1.00464983443,-2.26396323293,-2.68983831171,-1.33544582973,-1.83155875364,-1.86288483463,-1.14147553653,-1.28539997244,-2.0141963305,-2.87129314765,-3.82492271953,-4.17285641345,-1.81314142778,-1.3474291683,-2.15507471727,-1.30458012191,-1.29029258347,-5.8704894091,-3.7425840727,-4.30586239751,-1.08176543352,-1.90399247252,-1.51239708003,-1.61613100856,-1.5903582839,-1.31925054654
12,-2.12411618124,-2.47059315452,-4.96001950696,-4.52067187463,-2.77255338308,-4.21176768471,-2.12351794178,-4.21780772101,-1.00299962629,-2.32231774197,-2.65620221,-1.3090691002,-1.84225171094,-1.78045313205,-1.14179460323,-1.32692693382,-2.07254410722,-2.97611815235,-3.92085775136,-4.13547276165,-1.74497762351,-1.28095670876,-2.1267747839,-1.28457938129,-1.29745400158,-5.82260146386,-3.76837522634,-4.25981947664,-1.07782820758,-1.92032402993,-1.43616101197,-1.65666051393,-1.5840166547,-1.31920110266
13,-2.12909487509,-2.48434461723,-4.89099621509,-4.36136379449,-2.69375485597,-4.11715877177,-2.01494125691,-4.26504856109,-0.9943950951,-2.15473141654,-2.67509343546,-1.31797402638,-1.85747191792,-1.82260404372,-1.13364367155,-1.25230483311,-1.91491797672,-2.9161959273,-3.84235492137,-4.14270280103,-1.79602459542,-1.30232997935,-2.06403475961,-1.32364745906,-1.27871554689,-5.6507475528,-3.67356407399,-4.23714329748,-1.08615841548,-2.09973312501,-1.48996864126,-1.56340042805,-1.61023306663,-1.31704144789
14,-2.12338287317,-2.50369737215,-5.0220890292,-4.34483978838,-2.74057335493,-4.19760251981,-2.07494992986,-4.37765624014,-0.991413941472,-2.24505107059,-2.63321976942,-1.40132255031,-1.79039644722,-1.85331157037,-1.13101729701,-1.254279937,-1.9259087696,-2.77230268907,-3.77223713869,-4.16766453652,-1.71463633466,-1.28909406751,-2.05161383078,-1.28329818485,-1.29866380503,-5.78354286381,-3.74346396138,-4.06648049382,-1.07228233648,-2.06621487147,-1.52620879826,-1.68176820264,-1.58833654506,-1.30690055534
15,-2.14292372483,-2.48711018057,-4.87288188432,-4.23560552882,-2.69154486212,-4.05797587229,-2.16138862731,-4.45866024363,-1.00256191063,-2.22479906688,-2.52212422881,-1.31691136749,-1.84824306711,-1.83356170644,-1.13548106004,-1.286228489,-2.03490092319,-2.79856655604,-3.6871849951,-4.14199420822,-1.70054608455,-1.25147218883,-2.00296054868,-1.26977625663,-1.30571642395,-5.76311944281,-3.79831743194,-4.41697147838,-1.10139168263,-1.85928339893,-1.52747846235,-1.70732346444,-1.56874434488,-1.31186328089
16,-2.12127675753,-2.33621849299,-4.92047653272,-4.51229200319,-2.74853295826,-4.22316174761,-2.09346752789,-4.16434265256,-0.996706444449,-2.26139312051,-2.57244639533,-1.35396580214,-1.86334346586,-1.74440243987,-1.13589956016,-1.27903464062,-1.94683925236,-2.91698522892,-3.52247672192,-4.2654382929,-1.73374013937,-1.26734793729,-2.14949250968,-1.32214008156,-1.29958038877,-5.73369798167,-3.82365967032,-4.39344395273,-1.0824214797,-1.89445644222,-1.49227567668,-1.63220316923,-1.59474617961,-1.31500466905
17,-2.1310646327,-2.48544920178,-5.00274032103,-4.39279672779,-2.89212414144,-4.02933090523,-2.04581068401,-4.31805243667,-0.991119662691,-2.20108466783,-2.69309584448,-1.35895662208,-1.94395416317,-1.75011677631,-1.14364836092,-1.33041522404,-2.08687837582,-2.75855669677,-3.61926847146,-3.93668043429,-1.69215641333,-1.31771146125,-2.16128850786,-1.28731755903,-1.27762605396,-5.63242773798,-3.68543606468,-4.08921317329,-1.09074884817,-2.00145584133,-1.5569935251,-1.64985249069,-1.50201375785,-1.30984488523
18,-2.12528097999,-2.46355823541,-4.97294972097,-4.50696165899,-2.77331162862,-4.2928040065,-2.09759016921,-4.42963309031,-1.00271280558,-2.45571145525,-2.6592881509,-1.36244919056,-1.82055073833,-1.83581325825,-1.13533810343,-1.28214415437,-2.03470408062,-2.72353596224,-3.88427715071,-4.12177023168,-1.82167054452,-1.27916350429,-2.14407683499,-1.34758873313,-1.30446205667,-5.62559109637,-3.68207232382,-4.34191612628,-1.09686467799,-2.09850049042,-1.52899602812,-1.6847999286,-1.65894994455,-1.32065759991
19,-2.11849690758,-2.39047726551,-4.87089531874,-4.50018092843,-2.75511730105,-4.01175814709,-2.07640612076,-4.37621988664,-0.995657156241,-2.29613945915,-2.55417999703,-1.35027366345,-1.81272460063,-1.82896910202,-1.15018223464,-1.2518146644,-2.05741308494,-2.87799540524,-3.69270275755,-4.32409132915,-1.80551642834,-1.29302028473,-2.08484278049,-1.30561915532,-1.30180559217,-5.71536873117,-3.84827260787,-4.19964814011,-1.07318376316,-1.90619935253,-1.54314787477,-1.5192723051,-1.57109595907,-1.32082268473
20,-2.13866988169,-2.57328526366,-5.07936524059,-4.36957489321,-2.70055920997,-3.88361244259,-1.99614976076,-4.41053826578,-0.987180905751,-2.27656421024,-2.54432577987,-1.34112531967,-1.89930774093,-1.84726685086,-1.14742593648,-1.2813804405,-1.99209072938,-2.87592179659,-4.04459527723,-4.00688590547,-1.82530340253,-1.2608274018,-2.16771396561,-1.3025459785,-1.28493979709,-5.7073257156,-3.78850480693,-4.09714072183,-1.0820662533,-1.93801348725,-1.53274161104,-1.62946338271,-1.54716584725,-1.30826961575
21,-2.12563302586,-2.44143143411,-4.98790251869,-4.36178649287,-2.69546797725,-3.95388709674,-2.00639665795,-4.34193549057,-0.992034742048,-2.32530537415,-2.52593693528,-1.34801140427,-1.8263409983,-1.84353225477,-1.13767703603,-1.3079283315,-1.94691915828,-2.99075707833,-3.85027021972,-4.1272733452,-1.78832480241,-1.29532024891,-2.14959606656,-1.26017852408,-1.31204592248,-5.62827659893,-3.74995829846,-4.10769220045,-1.09119730306,-1.97412777315,-1.55270997502,-1.64190598141,-1.60267431153,-1.3088686835
22,-2.13078846572,-2.52162811658,-4.8734746854,-4.33739484682,-2.76471201217,-4.13938198364,-2.10336742415,-4.29805863354,-0.990617841962,-2.1271964641,-2.63852540754,-1.34879963211,-1.75041449615,-1.73686318394,-1.1324858278,-1.26355970164,-1.97123294479,-2.85208585209,-3.79066529451,-4.07458709996,-1.88300273312,-1.32163736239,-2.12005259553,-1.29810169245,-1.29895544288,-5.77927926915,-3.62979731947,-4.33597543266,-1.09800490471,-2.08045760937,-1.51251133851,-1.64588513258,-1.58457084413,-1.31317123759
23,-2.13339611367,-2.44426595907,-4.7520240058,-4.27750906521,-2.85855725259,-4.0498629649,-1.95213328265,-4.41034822032,-0.994314237936,-2.21196035144,-2.55166455295,-1.38665064915,-1.81160678026,-1.82836968049,-1.12759562089,-1.21277915251,-2.03307726159,-2.8937749107,-3.51896264082,-3.94713913627,-1.67892369569,-1.32752398092,-2.07343298362,-1.31419590935,-1.30603807847,-5.68701370689,-3.90501622729,-4.26882146369,-1.07809919007,-1.9115521949,-1.53124632302,-1.66224454987,-1.57248361612,-1.32490591353
