,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
10,-2.85698450476,-3.72115721852,-2.61393051072,-4.62338129338,-4.44460928757,-6.18217627939,-6.99936232113,-6.61710711368,-5.47871169078,-5.7226249398,-5.51098558871,-6.57294350382,-5.54919866045,-3.69084406295,-5.76921345884,-4.9494350813,-5.26872854875,-4.5975004269,-1.8894648036,-1.04278463029,-2.59168464346,-3.49007952409,-2.41633398776,-2.62824501047,-2.2855746316,-2.78241269087,-3.27171048847,-1.65411390516,-3.84664113762,-3.39985078366,-4.08883689793,-4.35432708275,-3.02228600282,-3.87273496173,-2.79669672862,-3.53237602599,-3.32772889996
11,-2.91493840205,-3.50539399762,-2.58190527271,-4.56095202295,-4.009666102,-6.26520510768,-7.05354268622,-6.48347038124,-5.42152749015,-5.6520365134,-5.44974404586,-6.5993332696,-5.12587362235,-3.46608341062,-5.99414438417,-4.96624549107,-5.24743805697,-4.89475419911,-1.96560893432,-1.21596376297,-2.46329293636,-3.32581314371,-2.86641514658,-2.94102275102,-2.17879776285,-2.35320495747,-3.41863781133,-1.64309651632,-3.9745468673,-3.90986202447,-3.87695846933,-4.67551960629,-2.91927235157,-3.66923832929,-2.63751749869,-3.72454694847,-3.61028407275
12,-1.45535318851,-2.50982028925,-1.27714040447,-2.80748970568,-2.06067689323,-6.17768963251,-7.02409532627,-4.67381220766,-3.06919980822,-4.00216809847,-4.67386150224,-5.86766269759,-5.17938634313,-2.154434988,-4.1825738657,-4.12823469784,-3.48537833348,-3.12219675344,-1.29448119026,-0.857979135503,-1.26325658367,-1.40843664094,-1.22867954495,-1.71822284826,-1.27201816914,-1.36847878635,-1.81401733023,-1.08476074869,-2.4700489518,-1.67080767279,-2.22098131608,-3.09748684184,-1.68503886336,-1.71694943679,-1.39552698504,-1.98096478708,-1.66722360223
13,-2.71747752612,-3.08809123193,-2.53920215564,-4.58698062785,-4.26132469221,-6.23836547987,-7.09382878364,-6.62313090431,-5.35777943904,-5.57530544809,-5.53229880824,-6.59345063715,-5.2620972374,-4.12475647288,-6.32963605111,-4.87510487751,-4.79676544615,-4.69344515118,-2.11463182468,-1.06182363889,-2.42315526787,-3.04772918914,-2.70472159366,-2.94909390307,-2.57671820507,-2.63035484073,-3.1712489773,-1.48370383801,-4.12891467106,-3.37192835016,-4.11730208897,-4.34971431311,-3.05409761645,-3.89681687294,-2.81634152256,-3.82965253275,-3.89874148046
14,-1.48094169254,-2.29305051481,-1.30855224649,-2.74583070999,-2.1184967788,-6.07687506338,-7.04895652913,-5.07142696234,-3.00245508424,-3.8085910766,-4.21809391274,-6.18326161913,-4.58870543713,-2.12052626443,-4.23515113426,-4.01247937022,-3.67268374428,-3.26541214924,-1.30338953474,-0.875089853615,-1.2679875772,-1.36189412544,-1.22710383621,-1.85081260696,-1.27266343166,-1.38145552457,-1.74294834355,-1.09336030113,-2.54948278915,-1.6787699453,-2.37544828609,-3.49333947305,-1.76956706002,-1.64662458368,-1.390499365,-1.99322802689,-1.64778194195
15,-1.47472714871,-2.25074680953,-1.26880356014,-2.76688255006,-1.95369023418,-6.4160102721,-6.98272277656,-5.11020710747,-2.63297031318,-3.85214655209,-4.07145036661,-5.77698329419,-5.15016952971,-2.15680919807,-5.01680597947,-3.97202425197,-3.9715894822,-3.53499005783,-1.30294000941,-0.874961432156,-1.25520545863,-1.40798650227,-1.21621583833,-1.81449851846,-1.28188948234,-1.37523655717,-1.71019016213,-1.1045262829,-1.99591547504,-1.68978798536,-2.37081749424,-3.0899794733,-1.80068243629,-1.70724104123,-1.37408173557,-1.93618849051,-1.60377671683
16,-1.44482340772,-2.26492660503,-1.2857896906,-2.67883799914,-1.90622477843,-6.18034354346,-7.09854656193,-5.56351935839,-2.87679693033,-3.90472273423,-4.11375879302,-6.00173170143,-5.22579543408,-2.07219548082,-4.9894336682,-3.86240913792,-3.6519054165,-3.83827725411,-1.31503460317,-0.868375869687,-1.25029788713,-1.40501797787,-1.23492252164,-1.70431197306,-1.24773216963,-1.41065749862,-1.85635573867,-1.08448051101,-2.3091095719,-1.68193552507,-2.28848589409,-3.16737130046,-1.86499890215,-1.72221224224,-1.41781408173,-1.86276274947,-1.64407450123
17,-1.48589548387,-2.47621980488,-1.31176700784,-2.84805654419,-1.92510893437,-6.3300716437,-7.15916703394,-4.76675605693,-3.0573804026,-3.60583828308,-4.59827245277,-6.26163537414,-5.05471779504,-2.20611900034,-4.44087335064,-4.12756709976,-4.05451150826,-3.406991549,-1.321977838,-0.86456554055,-1.30828635585,-1.37705870304,-1.2177384559,-1.71038543141,-1.28491919246,-1.3716385066,-1.75001911831,-1.09824271136,-2.44154195983,-1.69083590053,-2.27470786921,-3.67945144058,-1.7008033362,-1.71110427206,-1.42007257109,-1.99409320933,-1.62419225524
18,-1.50868003069,-2.42480315769,-1.28164226863,-2.36982937576,-1.99790837751,-6.03982632978,-7.05696227971,-5.06373474976,-2.79656033378,-3.75670872747,-4.63418061651,-5.80681128525,-5.03230939976,-2.04815151603,-4.99810842949,-3.56384383967,-3.92651920084,-3.33776714564,-1.32501626333,-0.865889848704,-1.22989516324,-1.36426947741,-1.22370446066,-1.9014509737,-1.27710951014,-1.38038045518,-1.70779897278,-1.08640555217,-2.43077818155,-1.70123476994,-2.1076113363,-3.22821362756,-1.69221504611,-1.67108357954,-1.43231761009,-1.97219623159,-1.64020577515
19,-1.46140281861,-2.53856833752,-1.26687983043,-2.39200180358,-2.0688978392,-5.98518849691,-7.06790396329,-5.00747466683,-3.047028964,-3.9729672202,-4.83275939989,-6.05886939267,-5.15606572345,-1.81027763121,-4.3460781857,-4.13266246734,-3.92992899946,-3.14054408665,-1.27458730624,-0.889525709638,-1.26829617054,-1.39088433707,-1.22534308844,-1.82741787957,-1.24978504556,-1.37008947062,-1.69229303158,-1.10348025048,-2.04437501591,-1.67742685054,-2.38353882107,-3.25750733745,-1.80804373376,-1.70016204114,-1.39973841348,-1.97083694073,-1.63492752051
